danger_front,danger_left,danger_right,food_left,food_right,food_up,food_down,direction_up,direction_down,direction_left,direction_right,action
0,1,0,0,1,0,0,0,0,0,1,1
1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,2
0,0,1,0,1,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,1,0,2
0,1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,1,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,1,0,1,1,0,0,0,2
